"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","LOCATION (CODE)","LOCATION (DISPLAY)","LOCATION (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","EBOLA_DATA_SOURCE (CODE)","EBOLA_DATA_SOURCE (DISPLAY)","EBOLA_DATA_SOURCE (URL)","EPI_WEEK (CODE)","EPI_WEEK (DISPLAY)","EPI_WEEK (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","Display Value","Numeric","Low","High","Comments"
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W06","03 to 09 February 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W06","03 to 09 February 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W07","10 to 16 February 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W07","10 to 16 February 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W08","17 to 23 February 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W08","17 to 23 February 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W09","24 February to 02 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","1","1.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W09","24 February to 02 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W10","03 to 09 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","2","2.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W10","03 to 09 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W11","10 to 16 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","11","11.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W11","10 to 16 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W12","17 to 23 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","11","11.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W12","17 to 23 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W13","24 to 30 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","23","23.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W13","24 to 30 March 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W14","31 March to 06 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","22","22.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W14","31 March to 06 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W15","07 to 13 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","27","27.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W15","07 to 13 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W16","14 to 20 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","16","16.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W16","14 to 20 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W17","21 to 27 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","10","10.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W17","21 to 27 April 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W18","28 April to 04 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","3","3.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W18","28 April to 04 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W19","05 to 11 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","8","8.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W19","05 to 11 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W20","12 to 18 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","6","6.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W20","12 to 18 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W21","19 to 25 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","23","23.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W21","19 to 25 May 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W22","26 May to 01 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","36","36.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W22","26 May to 01 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W23","02 to 08 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","24","24.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W23","02 to 08 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W24","09 to 15 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","29","29.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W24","09 to 15 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W25","16 to 22 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","18","18.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W25","16 to 22 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W26","23 to 29 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","22","22.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W26","23 to 29 June 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W27","30 June to 06 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","2","2.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W27","30 June to 06 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W28","07 to 13 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","5","5.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W28","07 to 13 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W29","14 to 20 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","5","5.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W29","14 to 20 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W30","21 to 27 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","32","32.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W30","21 to 27 July 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W31","28 July to 03 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","13","13.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W31","28 July to 03 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W32","04 to 10 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","21","21.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W32","04 to 10 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W33","11 to 17 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","40","40.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W33","11 to 17 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W34","18 to 24 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","75","75.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W34","18 to 24 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W35","25 to 31 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","95","95.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W35","25 to 31 August 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W36","01 to 07 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","101","101.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W36","01 to 07 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W37","08 to 14 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","79","79.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W37","08 to 14 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W38","15 to 21 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","82","82.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W38","15 to 21 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","77","77.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W39","22 to 28 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","120","120.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W39","22 to 28 September 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","117","117.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W40","29 September to 05 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","99","99.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W40","29 September to 05 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","95","95.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W41","06 to 12 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","130","130.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W41","06 to 12 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","137","137.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W42","13 to 19 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","110","110.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W42","13 to 19 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","102","102.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W43","20 to 26 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","81","81.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W43","20 to 26 October 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","75","75.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W44","27 October to 02 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","88","88.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W44","27 October to 02 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","93","93.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W45","03 to 09 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","153","153.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W45","03 to 09 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","145","145.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W46","10 to 16 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","93","93.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W46","10 to 16 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","81","81.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W47","17 to 23 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","149","149.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W47","17 to 23 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","148","148.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W48","24 to 30 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","86","86.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W48","24 to 30 November 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","77","77.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W49","01 to 07 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","111","111.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W49","01 to 07 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","96","96.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W50","08 to 14 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","74","74.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W50","08 to 14 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","76","76.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W51","15 to 21 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","171","171.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W51","15 to 21 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","156","156.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W52","22 to 28 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","103","103.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W52","22 to 28 December 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","115","115.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2015-W01","29 December 2014 to 04 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","69","69.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2015-W01","29 December 2014 to 04 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","74","74.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2015-W02","05 to 11 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","41","41.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2015-W02","05 to 11 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","42","42.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2015-W03","12 to 18 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","19","19.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2015-W03","12 to 18 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","20","20.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2015-W04","19 to 25 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","31","31.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2015-W04","19 to 25 January 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","30","30.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2015-W05","26 January to 01 February 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","38","38.00000","","",""
"GIN","Guinea","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2015-W05","26 January to 01 February 2015","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","39","39.00000","","",""
"LBR","Liberia","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W01","30 December 2013 to 05 January 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"LBR","Liberia","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W01","30 December 2013 to 05 January 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"LBR","Liberia","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","PATIENTDB","Patient database","","2014-W02","06 to 12 January 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
"LBR","Liberia","","","","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP","Situation report","","2014-W02","06 to 12 January 2014","","SITREP_NEW","New","","2015-02-04","Data package 2015-02-04","","","","","",""
